Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789216011,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789216012,10,,Aggregated,0.000000,0.000000,11,160,170,170,170,180,220,220,220,220,220,27,0,11,69.02042592668698,3.768599999602884,218.48020001198165,71.0
1789216013,20,,Aggregated,0.000000,0.000000,13,25,34,40,160,170,180,220,220,220,220,95,0,13,35.42542631682744,2.2923000215087086,218.48020001198165,71.0
1789216014,30,,Aggregated,10.000000,0.000000,14,22,28,35,83,160,170,180,220,220,220,187,0,14,29.395809626196794,2.2923000215087086,218.48020001198165,71.0
1789216015,40,,Aggregated,28.500000,0.000000,11,17,24,27,44,88,170,170,220,220,220,325,0,11,22.668189846623974,2.2923000215087086,218.48020001198165,71.0
1789216016,50,,Aggregated,41.666667,0.000000,11,19,24,28,48,92,170,220,250,250,250,473,0,11,24.47482135389778,2.2923000215087086,249.41660001059063,71.0
1789216017,50,,Aggregated,60.000000,0.000000,11,16,21,25,42,85,160,170,250,250,250,624,0,11,21.641761058512763,2.2551000001840293,249.41660001059063,71.0
1789216018,50,,Aggregated,75.400000,0.000000,10,14,19,22,37,74,130,170,250,250,250,787,0,10,19.278325667784383,2.2551000001840293,249.41660001059063,71.0
1789216019,50,,Aggregated,87.333333,0.000000,9,14,18,21,33,63,130,170,250,250,250,945,0,9,17.951751429287018,2.2551000001840293,249.41660001059063,71.0
1789216020,50,,Aggregated,97.571429,0.000000,10,14,18,21,32,48,96,160,250,250,250,1103,0,10,17.453124116897644,2.2551000001840293,249.41660001059063,71.0
1789216021,50,,Aggregated,104.500000,0.000000,10,14,18,20,30,45,92,160,250,250,250,1264,0,10,16.625234731645257,2.2551000001840293,249.41660001059063,71.0
1789216022,50,,Aggregated,110.333333,0.000000,10,13,17,20,30,44,90,140,250,250,250,1426,0,9,16.096327209469326,2.2551000001840293,249.41660001059063,71.0
1789216023,50,,Aggregated,113.800000,0.000000,9,13,17,19,29,44,85,130,250,250,250,1581,0,9,15.737683302100665,2.2551000001840293,249.41660001059063,71.0
1789216024,50,,Aggregated,129.700000,0.000000,9,13,17,19,28,40,82,130,250,250,250,1736,0,9,15.266082949699937,2.2551000001840293,249.41660001059063,71.0
1789216025,50,,Aggregated,141.500000,0.000000,9,13,16,19,27,39,77,130,250,250,250,1896,0,9,14.895456012897514,2.2551000001840293,249.41660001059063,71.0
1789216026,50,,Aggregated,149.700000,0.000000,9,12,16,19,27,38,74,130,240,250,250,2058,0,9,14.664522837918181,2.2551000001840293,249.41660001059063,71.0
1789216027,50,,Aggregated,153.700000,0.000000,9,13,17,20,28,39,69,96,240,250,250,2209,0,9,14.807395201597798,2.22239998402074,249.41660001059063,71.0
